,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,dist_metro
191,3300.0,1000.0,departamento,3.0,4.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4591.462791037131
192,40032.154340836016,622.0,departamento,3.0,10.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,3977.489339902753
193,32666.666666666668,750.0,departamento,3.0,5.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4563.264646810659
194,31471.135940409684,537.0,departamento,3.0,2.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4294.494466091718
195,45937.5,800.0,departamento,4.0,4.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5015.339437316075
196,45000.0,400.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5502.723471590045
197,1623.815967523681,739.0,departamento,3.0,3.0,6.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5053.451161547987
198,37622.14983713355,921.0,departamento,4.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4508.082852450314
199,70140.625,640.0,departamento,4.0,4.0,8.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5513.478823015821
200,45454.545454545456,2200.0,departamento,3.0,4.0,15.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5940.450160678878
201,1881.3314037626628,1382.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5588.5984143978285
202,46153.84615384616,715.0,departamento,3.0,3.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4811.940836542583
203,43750.0,800.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5305.6839322760925
